Nazwa;Alias
Bliźniąt;
Brzeźnieńska/Młodzieży Polskiej 47;"Brzeźnieńska; Młodzieży Polskiej 47"
Chełmońskiego;
Chlebnicka;
Cystersów;
Diany;
Hallera 50;
Heweliusza;
Hoża;
Jagiellońska;
Jar Wilanowski;
Jaśkowa Dolina;Jaśkowa
Kaczyńskiego;Prezydenta Lecha Kaczyńskiego
Kamieńskiego;
Klonowa;
Królewskie Wzgórze 7;Królewskie Wzgórze
Kuźniczki;
Lazurowa;
Leśna Góra;
Maczka;Maczka w parku
Madison;
Małomiejska Platynowa;"Małomiejska; Platynowa"
Manhatan;Manhattan
Mariacka;
Miałki Szlak;
Miejska Hala Sportowa Kołobrzeska; Miejska Hala Sportowa
Molo;"Przy molo w Brzeźnie; Molo Brzeżno"
Nad Strzyżą Wyspiańskiego;"Nad Strzyżą; Wyspiańskiego"
Nowotna;
Obrońców Poczty Polskiej;Poczty Polskiej
Olsztyńska;
Ołowianka Aleja Włazów;Aleja Włazów
Ołowianka Przepompowania;Przepompowania
Pańska;
Park Brzeźnieński 41;Park Brzeźnieński wejście nr 41
Park Brzeźnieński Gdańska;Park Brzeźnieński przy ulicę Gdańskiej
Park Jelitkowski 71;Park Jelitkowski / wejście nr 71
Park Oruński;
Piastowska 63;
Pilotów;
Przy Alfie ;
Skwer Ireny Jarockiej;"Skwer; Ireny Jarockiej"
Słowackiego/Podchorążych;"Słowackiego; Podchorążych"
Sobieszewo Turystyczna;"Sobieszewo; Turystyczna"
Soplicy;
Stary Sobieski;Zbiornik Stary Sobieski
Stolema;
Subisława;
Szafarnia;
Szeroka Przędzalnicza;"Szeroka; Przędzalnicza"
Świętopełka;
Targ Rybny;
Walentynowicz Waryńskiego;"Walentynowicz; Waryńskiego"
Wapiennicza;
Wybickiego;
Zbiornik Augustowska;Augustowska
Zbiornik Stara Orunia;Stara Orunia
Żak Braci Lewoniewskich;"Żak; Braci Lewoniewskich; Lewoniewskich"
